,classifier,cohort_identifier,cv_index,encoded_features_size,encoded_image_size,encoded_image_size_height,encoded_image_size_width,modality,module,non_varying_features,raw_image_size,raw_image_size_height,raw_image_size_width,training_scores_mean_test_AUC,training_scores_mean_test_Accuracy,training_scores_mean_test_F1,training_scores_mean_train_AUC,training_scores_mean_train_Accuracy,training_scores_mean_train_F1,AUC,Accuracy,Brier_Loss,DP,F1,Log_Loss,P+,P-,Precision,Recall,Specificity,Youdens
377,LogisticRegression,ppp1_raw_image_2048x2048,0,7168,,331.0,331.0,ms1_only,amoebanet_a_n18_f448,5042,,2048.0,2048.0,0.7517330866166014,0.6854460093896714,0.682057636929882,0.9382833245615608,0.8550844747892244,0.8536688524229771,0.734295913474346,0.6642335766423357,0.20917858311322077,0.7524471464764998,0.6617647058823529,0.6072165755636003,1.9999999999999996,0.5108695652173914,0.6666666666666666,0.656934306569343,0.6715328467153284,0.32846715328467146
378,XGBoost,ppp1_raw_image_2048x2048,1,1280,,128.0,128.0,ms1_only,mobilenet_v2_100_128,963,,2048.0,2048.0,0.5156128165842637,0.5156494522691706,0.5108397395919816,1.0,1.0,1.0,0.49682987905589,0.4781021897810219,0.3491575235841109,-0.0966501519363587,0.48000000000000004,1.0426778556289573,0.9166666666666666,1.0923076923076922,0.4782608695652174,0.48175182481751827,0.4744525547445255,-0.043795620437956206
379,RandomForest,ppp1_raw_image_2048x2048,1,1536,,299.0,299.0,all_modalities,inception_resnet_v2,155081,,2048.0,2048.0,0.7815299280737612,0.7112676056338029,0.6990656113215796,1.0,1.0,1.0,0.7418083009217327,0.656934306569343,0.20547645255474453,0.7281907363168273,0.6356589147286823,0.5963203522781759,2.1025641025641026,0.5612244897959183,0.6776859504132231,0.5985401459854015,0.7153284671532847,0.3138686131386862
380,LogisticRegression,ppp1_raw_image_2048x2048,0,1280,,128.0,128.0,all_modalities,mobilenet_v2_050_128,91059,,2048.0,2048.0,0.7214824001076103,0.6502347417840375,0.6521512524655512,1.0,0.9987483366013534,0.9987544698511458,0.7028611007512386,0.6277372262773723,0.2296630733039753,0.5783705471166568,0.6382978723404256,0.6605986266704444,1.6363636363636365,0.573170731707317,0.6206896551724138,0.656934306569343,0.5985401459854015,0.25547445255474455
381,XGBoost,ppp1_cropped_image_2048x973,1,1280,,224.0,224.0,ms1_only,mobilenet_v2_075_224,1183,,2048.0,973.0,0.6210607069702945,0.5876369327073553,0.585512600434126,1.0,1.0,1.0,0.6150034631573338,0.5948905109489051,0.29529353445135054,0.429135515749566,0.5714285714285714,0.9347416784541671,1.5416666666666665,0.7078651685393258,0.6065573770491803,0.5401459854014599,0.6496350364963503,0.1897810218978102
382,XGBoost,ppp1_raw_image_512x512,1,1280,,224.0,224.0,ms1_only,mobilenet_v2_050_224,1178,,512.0,512.0,0.5705759129667358,0.5539906103286385,0.5520783127842066,1.0,1.0,1.0,0.5799456550695294,0.5583941605839416,0.31254044389149027,0.25942876257800235,0.5693950177935942,1.0137495703691017,1.25,0.7808219178082192,0.5555555555555556,0.583941605839416,0.5328467153284672,0.11678832116788318
383,RandomForest,ppp1_cropped_image_512x243,1,2048,,224.0,224.0,ms1_only,resnet_v2_152,1586,,512.0,243.0,0.7263481111843825,0.6674491392801252,0.6643230779928413,1.0,1.0,1.0,0.719963770046353,0.6861313868613139,0.2139515182481752,0.862618635447998,0.6884057971014493,0.6179208057430461,2.1590909090909087,0.45161290322580644,0.6834532374100719,0.6934306569343066,0.6788321167883211,0.3722627737226277
384,LogisticRegression,ppp1_cropped_image_2048x973,1,2048,,299.0,299.0,ms1_only,inception_v3_imagenet,2043,,2048.0,973.0,0.7499633643150931,0.7073552425665102,0.703012448138995,0.9468673257976952,0.8755880672600828,0.8712385058916036,0.7316852256380201,0.6824817518248175,0.21184127345944287,0.8606422080001175,0.6614785992217899,0.6337229535805374,2.4285714285714284,0.5098039215686274,0.7083333333333334,0.6204379562043796,0.7445255474452555,0.36496350364963503
385,XGBoost,ppp1_cropped_image_2048x973,1,7168,,331.0,331.0,ms1_only,amoebanet_a_n18_f448,5866,,2048.0,973.0,0.6922331801196183,0.647887323943662,0.6435997283126342,1.0,1.0,1.0,0.6910863658159732,0.6386861313868614,0.2547060001169378,0.6328130574416504,0.623574144486692,0.8180175187579445,1.8636363636363635,0.5913978494623656,0.6507936507936508,0.5985401459854015,0.6788321167883211,0.2773722627737226
386,SVC,ppp1_raw_image_2048x2048,0,2048,,224.0,224.0,all_modalities,resnet_v2_50,131729,,2048.0,2048.0,0.8611389979757417,0.7887323943661971,0.7802338952198178,1.0,0.9993740213573333,0.9993769426868488,0.8525227769193884,0.7846715328467153,0.15626543489026753,1.495246510263115,0.766798418972332,0.4807606246934651,5.105263157894735,0.3389830508474576,0.8362068965517241,0.708029197080292,0.8613138686131386,0.5693430656934306
